"Date","Age","Case Count","Daily Rate per 100k","Seven-day Average Case Rate"
2020-05-07,"12-17 years",9,2.78822501595484,2.3
2020-05-07,"5-11 years",6,1.64493073470831,1.5
2020-05-08,"12-17 years",11,3.40783057505592,2.3
2020-05-08,"5-11 years",11,3.01570634696524,1.8
2020-05-09,"12-17 years",11,3.40783057505592,2.6
2020-05-09,"5-11 years",8,2.19324097961108,2
2020-05-10,"12-17 years",11,3.40783057505592,2.7
2020-05-10,"5-11 years",6,1.64493073470831,2
2020-05-11,"12-17 years",6,1.85881667730323,2.9
2020-05-11,"5-11 years",1,0.274155122451385,1.9
2020-05-12,"12-17 years",16,4.95684447280861,3.1
2020-05-12,"5-11 years",7,1.9190858571597,1.9
2020-05-13,"12-17 years",11,3.40783057505592,3.3
2020-05-13,"5-11 years",2,0.548310244902771,1.6
2020-05-14,"12-17 years",7,2.16861945685377,3.2
2020-05-14,"5-11 years",3,0.822465367354156,1.5
2020-05-15,"12-17 years",4,1.23921111820215,2.9
2020-05-15,"5-11 years",6,1.64493073470831,1.3
2020-05-16,"12-17 years",13,4.027436134157,3
2020-05-16,"5-11 years",10,2.74155122451385,1.4
2020-05-17,"12-17 years",15,4.64704169325807,3.2
2020-05-17,"5-11 years",9,2.46739610206247,1.5
2020-05-18,"12-17 years",12,3.71763335460646,3.5
2020-05-18,"5-11 years",14,3.8381717143194,2
2020-05-19,"12-17 years",17,5.26664725235915,3.5
2020-05-19,"5-11 years",3,0.822465367354156,1.8
2020-05-20,"12-17 years",6,1.85881667730323,3.3
2020-05-20,"5-11 years",3,0.822465367354156,1.9
2020-05-21,"12-17 years",14,4.33723891370753,3.6
2020-05-21,"5-11 years",3,0.822465367354156,1.9
2020-05-22,"12-17 years",9,2.78822501595484,3.8
2020-05-22,"5-11 years",4,1.09662048980554,1.8
2020-05-23,"12-17 years",13,4.027436134157,3.8
2020-05-23,"5-11 years",9,2.46739610206247,1.8
2020-05-24,"12-17 years",10,3.09802779550538,3.6
2020-05-24,"5-11 years",5,1.37077561225693,1.6
2020-05-25,"12-17 years",13,4.027436134157,3.6
2020-05-25,"5-11 years",3,0.822465367354156,1.2
2020-05-26,"12-17 years",9,2.78822501595484,3.3
2020-05-26,"5-11 years",3,0.822465367354156,1.2
2020-05-27,"12-17 years",7,2.16861945685377,3.3
2020-05-27,"5-11 years",7,1.9190858571597,1.3
2020-05-28,"12-17 years",27,8.36467504786453,3.9
2020-05-28,"5-11 years",10,2.74155122451385,1.6
2020-05-29,"12-17 years",22,6.81566115011184,4.5
2020-05-29,"5-11 years",5,1.37077561225693,1.6
2020-05-30,"12-17 years",16,4.95684447280861,4.6
2020-05-30,"5-11 years",9,2.46739610206247,1.6
2020-05-31,"12-17 years",15,4.64704169325807,4.8
2020-05-31,"5-11 years",4,1.09662048980554,1.6
2020-06-01,"12-17 years",12,3.71763335460646,4.8
2020-06-01,"5-11 years",4,1.09662048980554,1.6
2020-06-02,"12-17 years",23,7.12546392966238,5.4
2020-06-02,"5-11 years",13,3.56401659186801,2
2020-06-03,"12-17 years",18,5.57645003190969,5.9
2020-06-03,"5-11 years",12,3.28986146941662,2.2
2020-06-04,"12-17 years",21,6.5058583705613,5.6
2020-06-04,"5-11 years",10,2.74155122451385,2.2
2020-06-05,"12-17 years",19,5.88625281146023,5.5
2020-06-05,"5-11 years",17,4.66063708167355,2.7
2020-06-06,"12-17 years",19,5.88625281146023,5.6
2020-06-06,"5-11 years",8,2.19324097961108,2.7
2020-06-07,"12-17 years",18,5.57645003190969,5.8
2020-06-07,"5-11 years",10,2.74155122451385,2.9
2020-06-08,"12-17 years",11,3.40783057505592,5.7
2020-06-08,"5-11 years",3,0.822465367354156,2.9
2020-06-09,"12-17 years",16,4.95684447280861,5.4
2020-06-09,"5-11 years",2,0.548310244902771,2.4
2020-06-10,"12-17 years",23,7.12546392966238,5.6
2020-06-10,"5-11 years",10,2.74155122451385,2.3
2020-06-11,"12-17 years",30,9.29408338651614,6
2020-06-11,"5-11 years",9,2.46739610206247,2.3
2020-06-12,"12-17 years",38,11.7725056229205,6.9
2020-06-12,"5-11 years",9,2.46739610206247,2
2020-06-13,"12-17 years",23,7.12546392966238,7
2020-06-13,"5-11 years",9,2.46739610206247,2
2020-06-14,"12-17 years",21,6.5058583705613,7.2
2020-06-14,"5-11 years",12,3.28986146941662,2.1
2020-06-15,"12-17 years",22,6.81566115011184,7.7
2020-06-15,"5-11 years",11,3.01570634696524,2.4
2020-06-16,"12-17 years",31,9.60388616606668,8.3
2020-06-16,"5-11 years",9,2.46739610206247,2.7
2020-06-17,"12-17 years",40,12.3921111820215,9.1
2020-06-17,"5-11 years",23,6.30556781638187,3.2
2020-06-18,"12-17 years",33,10.2234917251678,9.2
2020-06-18,"5-11 years",27,7.40218830618741,3.9
2020-06-19,"12-17 years",53,16.4195473161785,9.9
2020-06-19,"5-11 years",19,5.20894732657632,4.3
2020-06-20,"12-17 years",23,7.12546392966238,9.9
2020-06-20,"5-11 years",8,2.19324097961108,4.3
2020-06-21,"12-17 years",29,8.98428060696561,10.2
2020-06-21,"5-11 years",25,6.85387806128464,4.8
2020-06-22,"12-17 years",28,8.67447782741507,10.5
2020-06-22,"5-11 years",19,5.20894732657632,5.1
2020-06-23,"12-17 years",39,12.082308402471,10.8
2020-06-23,"5-11 years",11,3.01570634696524,5.2
2020-06-24,"12-17 years",35,10.8430972842688,10.6
2020-06-24,"5-11 years",22,6.03141269393048,5.1
2020-06-25,"12-17 years",40,12.3921111820215,10.9
2020-06-25,"5-11 years",18,4.93479220412494,4.8
2020-06-26,"12-17 years",43,13.3215195206731,10.5
2020-06-26,"5-11 years",20,5.48310244902771,4.8
2020-06-27,"12-17 years",32,9.91368894561722,10.9
2020-06-27,"5-11 years",15,4.11232683677078,5.1
2020-06-28,"12-17 years",51,15.7999417570774,11.9
2020-06-28,"5-11 years",17,4.66063708167355,4.8
2020-06-29,"12-17 years",39,12.082308402471,12.3
2020-06-29,"5-11 years",22,6.03141269393048,4.9
2020-06-30,"12-17 years",28,8.67447782741507,11.9
2020-06-30,"5-11 years",20,5.48310244902771,5.2
2020-07-01,"12-17 years",46,14.2509278593248,12.3
2020-07-01,"5-11 years",14,3.8381717143194,4.9
2020-07-02,"12-17 years",37,11.4627028433699,12.2
2020-07-02,"5-11 years",20,5.48310244902771,5
2020-07-03,"12-17 years",43,13.3215195206731,12.2
2020-07-03,"5-11 years",22,6.03141269393048,5.1
2020-07-04,"12-17 years",15,4.64704169325807,11.5
2020-07-04,"5-11 years",5,1.37077561225693,4.7
2020-07-05,"12-17 years",53,16.4195473161785,11.6
2020-07-05,"5-11 years",26,7.12803318373602,5.1
2020-07-06,"12-17 years",43,13.3215195206731,11.7
2020-07-06,"5-11 years",22,6.03141269393048,5.1
2020-07-07,"12-17 years",63,19.5175751116839,13.3
2020-07-07,"5-11 years",25,6.85387806128464,5.2
2020-07-08,"12-17 years",53,16.4195473161785,13.6
2020-07-08,"5-11 years",18,4.93479220412494,5.4
2020-07-09,"12-17 years",65,20.137180670785,14.8
2020-07-09,"5-11 years",36,9.86958440824988,6
2020-07-10,"12-17 years",39,12.082308402471,14.6
2020-07-10,"5-11 years",13,3.56401659186801,5.7
2020-07-11,"12-17 years",52,16.109744536628,16.3
2020-07-11,"5-11 years",13,3.56401659186801,6
2020-07-12,"12-17 years",54,16.7293500957291,16.3
2020-07-12,"5-11 years",22,6.03141269393048,5.8
2020-07-13,"12-17 years",36,11.1529000638194,16
2020-07-13,"5-11 years",12,3.28986146941662,5.4
2020-07-14,"12-17 years",38,11.7725056229205,14.9
2020-07-14,"5-11 years",18,4.93479220412494,5.2
2020-07-15,"12-17 years",57,17.6587584343807,15.1
2020-07-15,"5-11 years",18,4.93479220412494,5.2
2020-07-16,"12-17 years",54,16.7293500957291,14.6
2020-07-16,"5-11 years",29,7.95049855109018,4.9
2020-07-17,"12-17 years",61,18.8979695525828,15.6
2020-07-17,"5-11 years",30,8.22465367354156,5.6
2020-07-18,"12-17 years",51,15.7999417570774,15.5
2020-07-18,"5-11 years",21,5.75725757147909,5.9
2020-07-19,"12-17 years",24,7.43526670921291,14.2
2020-07-19,"5-11 years",18,4.93479220412494,5.7
2020-07-20,"12-17 years",34,10.5332945047183,14.1
2020-07-20,"5-11 years",15,4.11232683677078,5.8
2020-07-21,"12-17 years",35,10.8430972842688,14
2020-07-21,"5-11 years",15,4.11232683677078,5.7
2020-07-22,"12-17 years",33,10.2234917251678,12.9
2020-07-22,"5-11 years",16,4.38648195922217,5.6
2020-07-23,"12-17 years",73,22.6156029071893,13.8
2020-07-23,"5-11 years",28,7.67634342863879,5.6
2020-07-24,"12-17 years",60,18.5881667730323,13.7
2020-07-24,"5-11 years",22,6.03141269393048,5.3
2020-07-25,"12-17 years",25,7.74506948876345,12.6
2020-07-25,"5-11 years",11,3.01570634696524,4.9
2020-07-26,"12-17 years",39,12.082308402471,13.2
2020-07-26,"5-11 years",16,4.38648195922217,4.8
2020-07-27,"12-17 years",30,9.29408338651614,13.1
2020-07-27,"5-11 years",16,4.38648195922217,4.9
2020-07-28,"12-17 years",23,7.12546392966238,12.5
2020-07-28,"5-11 years",8,2.19324097961108,4.6
2020-07-29,"12-17 years",40,12.3921111820215,12.8
2020-07-29,"5-11 years",13,3.56401659186801,4.5
2020-07-30,"12-17 years",45,13.9411250797742,11.6
2020-07-30,"5-11 years",21,5.75725757147909,4.2
2020-07-31,"12-17 years",31,9.60388616606668,10.3
2020-07-31,"5-11 years",19,5.20894732657632,4.1
2020-08-01,"12-17 years",44,13.6313223002237,11.2
2020-08-01,"5-11 years",23,6.30556781638187,4.5
2020-08-02,"12-17 years",30,9.29408338651614,10.8
2020-08-02,"5-11 years",16,4.38648195922217,4.5
2020-08-03,"12-17 years",34,10.5332945047183,10.9
2020-08-03,"5-11 years",13,3.56401659186801,4.4
2020-08-04,"12-17 years",36,11.1529000638194,11.5
2020-08-04,"5-11 years",11,3.01570634696524,4.5
2020-08-05,"12-17 years",52,16.109744536628,12
2020-08-05,"5-11 years",21,5.75725757147909,4.9
2020-08-06,"12-17 years",36,11.1529000638194,11.6
2020-08-06,"5-11 years",13,3.56401659186801,4.5
2020-08-07,"12-17 years",32,9.91368894561722,11.7
2020-08-07,"5-11 years",10,2.74155122451385,4.2
2020-08-08,"12-17 years",28,8.67447782741507,11
2020-08-08,"5-11 years",20,5.48310244902771,4.1
2020-08-09,"12-17 years",32,9.91368894561722,11.1
2020-08-09,"5-11 years",7,1.9190858571597,3.7
2020-08-10,"12-17 years",33,10.2234917251678,11
2020-08-10,"5-11 years",15,4.11232683677078,3.8
2020-08-11,"12-17 years",29,8.98428060696561,10.7
2020-08-11,"5-11 years",6,1.64493073470831,3.6
2020-08-12,"12-17 years",25,7.74506948876345,9.5
2020-08-12,"5-11 years",7,1.9190858571597,3.1
2020-08-13,"12-17 years",44,13.6313223002237,9.9
2020-08-13,"5-11 years",21,5.75725757147909,3.4
2020-08-14,"12-17 years",35,10.8430972842688,10
2020-08-14,"5-11 years",10,2.74155122451385,3.4
2020-08-15,"12-17 years",33,10.2234917251678,10.2
2020-08-15,"5-11 years",14,3.8381717143194,3.1
2020-08-16,"12-17 years",21,6.5058583705613,9.7
2020-08-16,"5-11 years",9,2.46739610206247,3.2
2020-08-17,"12-17 years",24,7.43526670921291,9.3
2020-08-17,"5-11 years",6,1.64493073470831,2.9
2020-08-18,"12-17 years",29,8.98428060696561,9.3
2020-08-18,"5-11 years",15,4.11232683677078,3.2
2020-08-19,"12-17 years",33,10.2234917251678,9.7
2020-08-19,"5-11 years",18,4.93479220412494,3.6
2020-08-20,"12-17 years",46,14.2509278593248,9.8
2020-08-20,"5-11 years",20,5.48310244902771,3.6
2020-08-21,"12-17 years",24,7.43526670921291,9.3
2020-08-21,"5-11 years",19,5.20894732657632,4
2020-08-22,"12-17 years",22,6.81566115011184,8.8
2020-08-22,"5-11 years",9,2.46739610206247,3.8
2020-08-23,"12-17 years",22,6.81566115011184,8.9
2020-08-23,"5-11 years",11,3.01570634696524,3.8
2020-08-24,"12-17 years",30,9.29408338651614,9.1
2020-08-24,"5-11 years",20,5.48310244902771,4.4
2020-08-25,"12-17 years",28,8.67447782741507,9.1
2020-08-25,"5-11 years",21,5.75725757147909,4.6
2020-08-26,"12-17 years",39,12.082308402471,9.3
2020-08-26,"5-11 years",11,3.01570634696524,4.3
2020-08-27,"12-17 years",34,10.5332945047183,8.8
2020-08-27,"5-11 years",12,3.28986146941662,4
2020-08-28,"12-17 years",28,8.67447782741507,9
2020-08-28,"5-11 years",22,6.03141269393048,4.2
2020-08-29,"12-17 years",40,12.3921111820215,9.8
2020-08-29,"5-11 years",19,5.20894732657632,4.5
2020-08-30,"12-17 years",12,3.71763335460646,9.3
2020-08-30,"5-11 years",14,3.8381717143194,4.7
2020-08-31,"12-17 years",28,8.67447782741507,9.2
2020-08-31,"5-11 years",13,3.56401659186801,4.4
2020-09-01,"12-17 years",39,12.082308402471,9.7
2020-09-01,"5-11 years",11,3.01570634696524,4
2020-09-02,"12-17 years",41,12.7019139615721,9.8
2020-09-02,"5-11 years",19,5.20894732657632,4.3
2020-09-03,"12-17 years",39,12.082308402471,10
2020-09-03,"5-11 years",13,3.56401659186801,4.3
2020-09-04,"12-17 years",36,11.1529000638194,10.4
2020-09-04,"5-11 years",14,3.8381717143194,4
2020-09-05,"12-17 years",36,11.1529000638194,10.2
2020-09-05,"5-11 years",17,4.66063708167355,4
2020-09-06,"12-17 years",22,6.81566115011184,10.7
2020-09-06,"5-11 years",13,3.56401659186801,3.9
2020-09-07,"12-17 years",28,8.67447782741507,10.7
2020-09-07,"5-11 years",8,2.19324097961108,3.7
2020-09-08,"12-17 years",32,9.91368894561722,10.4
2020-09-08,"5-11 years",11,3.01570634696524,3.7
2020-09-09,"12-17 years",34,10.5332945047183,10
2020-09-09,"5-11 years",7,1.9190858571597,3.3
2020-09-10,"12-17 years",72,22.3058001276387,11.5
2020-09-10,"5-11 years",19,5.20894732657632,3.5
2020-09-11,"12-17 years",50,15.4901389775269,12.1
2020-09-11,"5-11 years",13,3.56401659186801,3.4
2020-09-12,"12-17 years",62,19.2077723321334,13.3
2020-09-12,"5-11 years",20,5.48310244902771,3.6
2020-09-13,"12-17 years",68,21.0665890094366,15.3
2020-09-13,"5-11 years",13,3.56401659186801,3.6
2020-09-14,"12-17 years",59,18.2783639934817,16.7
2020-09-14,"5-11 years",10,2.74155122451385,3.6
2020-09-15,"12-17 years",64,19.8273778912344,18.1
2020-09-15,"5-11 years",23,6.30556781638187,4.1
2020-09-16,"12-17 years",90,27.8822501595484,20.6
2020-09-16,"5-11 years",16,4.38648195922217,4.5
2020-09-17,"12-17 years",105,32.5292918528065,22
2020-09-17,"5-11 years",29,7.95049855109018,4.9
2020-09-18,"12-17 years",101,31.2900807346043,24.3
2020-09-18,"5-11 years",34,9.32127416334711,5.7
2020-09-19,"12-17 years",91,28.192052939099,25.6
2020-09-19,"5-11 years",35,9.59542928579849,6.3
2020-09-20,"12-17 years",75,23.2352084662904,25.9
2020-09-20,"5-11 years",29,7.95049855109018,6.9
2020-09-21,"12-17 years",55,17.0391528752796,25.7
2020-09-21,"5-11 years",12,3.28986146941662,7
2020-09-22,"12-17 years",82,25.4038279231441,26.5
2020-09-22,"5-11 years",24,6.57972293883325,7
2020-09-23,"12-17 years",117,36.246925207413,27.7
2020-09-23,"5-11 years",40,10.9662048980554,8
2020-09-24,"12-17 years",146,45.2312058143786,29.5
2020-09-24,"5-11 years",48,13.1594458776665,8.7
2020-09-25,"12-17 years",113,35.0077140892108,30.1
2020-09-25,"5-11 years",29,7.95049855109018,8.5
2020-09-26,"12-17 years",95,29.4312640573011,30.2
2020-09-26,"5-11 years",41,11.2403600205068,8.7
2020-09-27,"12-17 years",94,29.1214612777506,31.1
2020-09-27,"5-11 years",43,11.7886702654096,9.3
2020-09-28,"12-17 years",63,19.5175751116839,31.4
2020-09-28,"5-11 years",28,7.67634342863879,9.9
2020-09-29,"12-17 years",106,32.839094632357,32.5
2020-09-29,"5-11 years",36,9.86958440824988,10.4
2020-09-30,"12-17 years",95,29.4312640573011,31.5
2020-09-30,"5-11 years",42,11.5145151429582,10.5
2020-10-01,"12-17 years",94,29.1214612777506,29.2
2020-10-01,"5-11 years",45,12.3369805103123,10.3
2020-10-02,"12-17 years",104,32.219489073256,28.8
2020-10-02,"5-11 years",55,15.0785317348262,11.4
2020-10-03,"12-17 years",159,49.2586419485356,31.6
2020-10-03,"5-11 years",67,18.3683932042428,12.4
2020-10-04,"12-17 years",82,25.4038279231441,31.1
2020-10-04,"5-11 years",38,10.4178946531526,12.2
2020-10-05,"12-17 years",63,19.5175751116839,31.1
2020-10-05,"5-11 years",26,7.12803318373602,12.1
2020-10-06,"12-17 years",75,23.2352084662904,29.7
2020-10-06,"5-11 years",34,9.32127416334711,12
2020-10-07,"12-17 years",143,44.3017974757269,31.9
2020-10-07,"5-11 years",43,11.7886702654096,12.1
2020-10-08,"12-17 years",122,37.7959391051657,33.1
2020-10-08,"5-11 years",70,19.190858571597,13
2020-10-09,"12-17 years",134,41.5135724597721,34.4
2020-10-09,"5-11 years",62,16.9976175919859,13.3
2020-10-10,"12-17 years",129,39.9645585620194,33.1
2020-10-10,"5-11 years",41,11.2403600205068,12.3
2020-10-11,"12-17 years",105,32.5292918528065,34.1
2020-10-11,"5-11 years",44,12.062825387861,12.5
2020-10-12,"12-17 years",91,28.192052939099,35.4
2020-10-12,"5-11 years",50,13.7077561225693,13.5
