"Date","jurisdiction","Cumulative Count","Cumulative Case Rate / 100,000"
2020-03-17,"Bear River",1,0.5
2020-03-17,"Central Utah",0,0
2020-03-17,"Davis County",6,1.7
2020-03-17,"Salt Lake County",23,2
2020-03-17,"San Juan",0,0
2020-03-17,"Southeast Utah",0,0
2020-03-17,"Southwest Utah",1,0.4
2020-03-17,"Summit County",14,32.9
2020-03-17,"Tooele County",1,1.3
2020-03-17,"TriCounty",0,0
2020-03-17,"Utah County",1,0.2
2020-03-17,"Wasatch County",1,2.8
2020-03-17,"Weber-Morgan",4,1.5
2020-03-18,"Bear River",1,0.5
2020-03-18,"Central Utah",0,0
2020-03-18,"Davis County",6,1.7
2020-03-18,"Salt Lake County",27,2.3
2020-03-18,"San Juan",0,0
2020-03-18,"Southeast Utah",0,0
2020-03-18,"Southwest Utah",1,0.4
2020-03-18,"Summit County",17,40
2020-03-18,"Tooele County",1,1.3
2020-03-18,"TriCounty",0,0
2020-03-18,"Utah County",2,0.3
2020-03-18,"Wasatch County",2,5.7
2020-03-18,"Weber-Morgan",4,1.5
2020-03-19,"Bear River",3,1.6
2020-03-19,"Central Utah",0,0
2020-03-19,"Davis County",12,3.3
2020-03-19,"Salt Lake County",40,3.4
2020-03-19,"San Juan",0,0
2020-03-19,"Southeast Utah",0,0
2020-03-19,"Southwest Utah",1,0.4
2020-03-19,"Summit County",25,58.8
2020-03-19,"Tooele County",2,2.7
2020-03-19,"TriCounty",0,0
2020-03-19,"Utah County",2,0.3
2020-03-19,"Wasatch County",4,11.3
2020-03-19,"Weber-Morgan",6,2.2
2020-03-20,"Bear River",3,1.6
2020-03-20,"Central Utah",0,0
2020-03-20,"Davis County",14,3.9
2020-03-20,"Salt Lake County",56,4.8
2020-03-20,"San Juan",0,0
2020-03-20,"Southeast Utah",0,0
2020-03-20,"Southwest Utah",1,0.4
2020-03-20,"Summit County",29,68.2
2020-03-20,"Tooele County",2,2.7
2020-03-20,"TriCounty",0,0
2020-03-20,"Utah County",3,0.5
2020-03-20,"Wasatch County",7,19.8
2020-03-20,"Weber-Morgan",6,2.2
2020-03-21,"Bear River",3,1.6
2020-03-21,"Central Utah",0,0
2020-03-21,"Davis County",17,4.7
2020-03-21,"Salt Lake County",71,6.1
2020-03-21,"San Juan",0,0
2020-03-21,"Southeast Utah",0,0
2020-03-21,"Southwest Utah",1,0.4
2020-03-21,"Summit County",31,72.9
2020-03-21,"Tooele County",2,2.7
2020-03-21,"TriCounty",0,0
2020-03-21,"Utah County",5,0.8
2020-03-21,"Wasatch County",7,19.8
2020-03-21,"Weber-Morgan",6,2.2
2020-03-22,"Bear River",3,1.6
2020-03-22,"Central Utah",0,0
2020-03-22,"Davis County",26,7.2
2020-03-22,"Salt Lake County",101,8.7
2020-03-22,"San Juan",0,0
2020-03-22,"Southeast Utah",0,0
2020-03-22,"Southwest Utah",3,1.1
2020-03-22,"Summit County",61,143.5
2020-03-22,"Tooele County",2,2.7
2020-03-22,"TriCounty",0,0
2020-03-22,"Utah County",10,1.5
2020-03-22,"Wasatch County",11,31.2
2020-03-22,"Weber-Morgan",8,2.9
2020-03-23,"Bear River",4,2.1
2020-03-23,"Central Utah",0,0
2020-03-23,"Davis County",26,7.2
2020-03-23,"Salt Lake County",110,9.4
2020-03-23,"San Juan",0,0
2020-03-23,"Southeast Utah",0,0
2020-03-23,"Southwest Utah",5,1.9
2020-03-23,"Summit County",74,174.1
2020-03-23,"Tooele County",2,2.7
2020-03-23,"TriCounty",0,0
2020-03-23,"Utah County",11,1.7
2020-03-23,"Wasatch County",15,42.5
2020-03-23,"Weber-Morgan",9,3.3
2020-03-24,"Bear River",6,3.2
2020-03-24,"Central Utah",0,0
2020-03-24,"Davis County",35,9.7
2020-03-24,"Salt Lake County",148,12.7
2020-03-24,"San Juan",0,0
2020-03-24,"Southeast Utah",0,0
2020-03-24,"Southwest Utah",5,1.9
2020-03-24,"Summit County",83,195.3
2020-03-24,"Tooele County",3,4
2020-03-24,"TriCounty",0,0
2020-03-24,"Utah County",18,2.8
2020-03-24,"Wasatch County",16,45.3
2020-03-24,"Weber-Morgan",10,3.6
2020-03-25,"Bear River",6,3.2
2020-03-25,"Central Utah",0,0
2020-03-25,"Davis County",37,10.3
2020-03-25,"Salt Lake County",166,14.2
2020-03-25,"San Juan",0,0
2020-03-25,"Southeast Utah",0,0
2020-03-25,"Southwest Utah",7,2.7
2020-03-25,"Summit County",92,216.5
2020-03-25,"Tooele County",4,5.4
2020-03-25,"TriCounty",0,0
2020-03-25,"Utah County",19,2.9
2020-03-25,"Wasatch County",21,59.5
2020-03-25,"Weber-Morgan",12,4.4
2020-03-26,"Bear River",7,3.7
2020-03-26,"Central Utah",0,0
2020-03-26,"Davis County",49,13.6
2020-03-26,"Salt Lake County",212,18.2
2020-03-26,"San Juan",0,0
2020-03-26,"Southeast Utah",0,0
2020-03-26,"Southwest Utah",8,3.1
2020-03-26,"Summit County",97,228.2
2020-03-26,"Tooele County",5,6.7
2020-03-26,"TriCounty",1,1.8
2020-03-26,"Utah County",23,3.5
2020-03-26,"Wasatch County",29,82.2
2020-03-26,"Weber-Morgan",19,6.9
2020-03-27,"Bear River",8,4.2
2020-03-27,"Central Utah",0,0
2020-03-27,"Davis County",58,16.1
2020-03-27,"Salt Lake County",266,22.8
2020-03-27,"San Juan",2,13.1
2020-03-27,"Southeast Utah",1,2.5
2020-03-27,"Southwest Utah",12,4.6
2020-03-27,"Summit County",122,287.1
2020-03-27,"Tooele County",8,10.7
2020-03-27,"TriCounty",1,1.8
2020-03-27,"Utah County",28,4.3
2020-03-27,"Wasatch County",38,107.6
2020-03-27,"Weber-Morgan",30,10.9
2020-03-28,"Bear River",11,5.8
2020-03-28,"Central Utah",0,0
2020-03-28,"Davis County",70,19.5
2020-03-28,"Salt Lake County",319,27.4
2020-03-28,"San Juan",4,26.2
2020-03-28,"Southeast Utah",1,2.5
2020-03-28,"Southwest Utah",13,5
2020-03-28,"Summit County",146,343.5
2020-03-28,"Tooele County",9,12.1
2020-03-28,"TriCounty",1,1.8
2020-03-28,"Utah County",40,6.1
2020-03-28,"Wasatch County",39,110.5
2020-03-28,"Weber-Morgan",36,13.1
2020-03-29,"Bear River",13,6.9
2020-03-29,"Central Utah",0,0
2020-03-29,"Davis County",78,21.7
2020-03-29,"Salt Lake County",357,30.6
2020-03-29,"San Juan",4,26.2
2020-03-29,"Southeast Utah",1,2.5
2020-03-29,"Southwest Utah",16,6.1
2020-03-29,"Summit County",164,385.9
2020-03-29,"Tooele County",9,12.1
2020-03-29,"TriCounty",1,1.8
2020-03-29,"Utah County",62,9.5
2020-03-29,"Wasatch County",45,127.5
2020-03-29,"Weber-Morgan",39,14.2
2020-03-30,"Bear River",14,7.4
2020-03-30,"Central Utah",0,0
2020-03-30,"Davis County",84,23.4
2020-03-30,"Salt Lake County",400,34.3
2020-03-30,"San Juan",4,26.2
2020-03-30,"Southeast Utah",1,2.5
2020-03-30,"Southwest Utah",24,9.2
2020-03-30,"Summit County",184,433
2020-03-30,"Tooele County",12,16.1
2020-03-30,"TriCounty",2,3.5
2020-03-30,"Utah County",79,12.1
2020-03-30,"Wasatch County",54,153
2020-03-30,"Weber-Morgan",44,16
2020-03-31,"Bear River",15,7.9
2020-03-31,"Central Utah",0,0
2020-03-31,"Davis County",93,25.9
2020-03-31,"Salt Lake County",436,37.4
2020-03-31,"San Juan",4,26.2
2020-03-31,"Southeast Utah",1,2.5
2020-03-31,"Southwest Utah",27,10.3
2020-03-31,"Summit County",193,454.1
2020-03-31,"Tooele County",12,16.1
2020-03-31,"TriCounty",2,3.5
2020-03-31,"Utah County",94,14.4
2020-03-31,"Wasatch County",57,161.5
2020-03-31,"Weber-Morgan",50,18.2
2020-04-01,"Bear River",16,8.4
2020-04-01,"Central Utah",2,2.4
2020-04-01,"Davis County",104,29
2020-04-01,"Salt Lake County",475,40.8
2020-04-01,"San Juan",5,32.7
2020-04-01,"Southeast Utah",1,2.5
2020-04-01,"Southwest Utah",29,11.1
2020-04-01,"Summit County",202,475.3
2020-04-01,"Tooele County",12,16.1
2020-04-01,"TriCounty",2,3.5
2020-04-01,"Utah County",105,16.1
2020-04-01,"Wasatch County",60,170
2020-04-01,"Weber-Morgan",52,18.9
2020-04-02,"Bear River",24,12.7
2020-04-02,"Central Utah",2,2.4
2020-04-02,"Davis County",126,35.1
2020-04-02,"Salt Lake County",553,47.4
2020-04-02,"San Juan",5,32.7
2020-04-02,"Southeast Utah",2,4.9
2020-04-02,"Southwest Utah",31,11.9
2020-04-02,"Summit County",221,520
2020-04-02,"Tooele County",14,18.8
2020-04-02,"TriCounty",2,3.5
2020-04-02,"Utah County",157,24.1
2020-04-02,"Wasatch County",69,195.5
2020-04-02,"Weber-Morgan",62,22.5
2020-04-03,"Bear River",28,14.8
2020-04-03,"Central Utah",3,3.6
2020-04-03,"Davis County",137,38.1
2020-04-03,"Salt Lake County",639,54.8
2020-04-03,"San Juan",6,39.3
2020-04-03,"Southeast Utah",2,4.9
2020-04-03,"Southwest Utah",34,13
2020-04-03,"Summit County",234,550.6
2020-04-03,"Tooele County",16,21.5
2020-04-03,"TriCounty",2,3.5
2020-04-03,"Utah County",186,28.6
2020-04-03,"Wasatch County",71,201.1
2020-04-03,"Weber-Morgan",67,24.4
2020-04-04,"Bear River",32,16.9
2020-04-04,"Central Utah",4,4.8
2020-04-04,"Davis County",142,39.5
2020-04-04,"Salt Lake County",723,62
2020-04-04,"San Juan",7,45.8
2020-04-04,"Southeast Utah",3,7.4
2020-04-04,"Southwest Utah",39,14.9
2020-04-04,"Summit County",256,602.4
2020-04-04,"Tooele County",19,25.5
2020-04-04,"TriCounty",2,3.5
2020-04-04,"Utah County",218,33.5
2020-04-04,"Wasatch County",76,215.3
2020-04-04,"Weber-Morgan",71,25.8
2020-04-05,"Bear River",35,18.5
2020-04-05,"Central Utah",4,4.8
2020-04-05,"Davis County",153,42.6
2020-04-05,"Salt Lake County",761,65.3
2020-04-05,"San Juan",7,45.8
2020-04-05,"Southeast Utah",3,7.4
2020-04-05,"Southwest Utah",42,16.1
2020-04-05,"Summit County",262,616.5
2020-04-05,"Tooele County",22,29.5
2020-04-05,"TriCounty",2,3.5
2020-04-05,"Utah County",223,34.3
2020-04-05,"Wasatch County",77,218.1
2020-04-05,"Weber-Morgan",74,26.9
2020-04-06,"Bear River",37,19.5
2020-04-06,"Central Utah",4,4.8
2020-04-06,"Davis County",157,43.7
2020-04-06,"Salt Lake County",801,68.7
2020-04-06,"San Juan",7,45.8
2020-04-06,"Southeast Utah",3,7.4
2020-04-06,"Southwest Utah",42,16.1
2020-04-06,"Summit County",262,616.5
2020-04-06,"Tooele County",22,29.5
2020-04-06,"TriCounty",3,5.3
2020-04-06,"Utah County",235,36.1
2020-04-06,"Wasatch County",81,229.5
2020-04-06,"Weber-Morgan",77,28
2020-04-07,"Bear River",40,21.1
2020-04-07,"Central Utah",5,6
2020-04-07,"Davis County",161,44.8
2020-04-07,"Salt Lake County",848,72.8
2020-04-07,"San Juan",7,45.8
2020-04-07,"Southeast Utah",4,9.8
2020-04-07,"Southwest Utah",42,16.1
2020-04-07,"Summit County",273,642.4
2020-04-07,"Tooele County",22,29.5
2020-04-07,"TriCounty",6,10.5
2020-04-07,"Utah County",245,37.6
2020-04-07,"Wasatch County",84,238
2020-04-07,"Weber-Morgan",77,28
2020-04-08,"Bear River",42,22.2
2020-04-08,"Central Utah",6,7.2
2020-04-08,"Davis County",170,47.3
2020-04-08,"Salt Lake County",929,79.7
2020-04-08,"San Juan",7,45.8
2020-04-08,"Southeast Utah",4,9.8
2020-04-08,"Southwest Utah",48,18.4
2020-04-08,"Summit County",286,673
2020-04-08,"Tooele County",23,30.9
2020-04-08,"TriCounty",8,14.1
2020-04-08,"Utah County",267,41
2020-04-08,"Wasatch County",91,257.8
2020-04-08,"Weber-Morgan",83,30.2
2020-04-09,"Bear River",43,22.7
2020-04-09,"Central Utah",6,7.2
2020-04-09,"Davis County",179,49.8
2020-04-09,"Salt Lake County",1001,85.9
2020-04-09,"San Juan",7,45.8
2020-04-09,"Southeast Utah",4,9.8
2020-04-09,"Southwest Utah",51,19.5
2020-04-09,"Summit County",295,694.1
2020-04-09,"Tooele County",27,36.2
2020-04-09,"TriCounty",8,14.1
2020-04-09,"Utah County",282,43.3
2020-04-09,"Wasatch County",96,272
2020-04-09,"Weber-Morgan",90,32.7
2020-04-10,"Bear River",45,23.8
2020-04-10,"Central Utah",6,7.2
2020-04-10,"Davis County",192,53.4
2020-04-10,"Salt Lake County",1073,92.1
2020-04-10,"San Juan",9,58.9
2020-04-10,"Southeast Utah",4,9.8
2020-04-10,"Southwest Utah",53,20.3
2020-04-10,"Summit County",298,701.2
2020-04-10,"Tooele County",32,42.9
2020-04-10,"TriCounty",8,14.1
2020-04-10,"Utah County",298,45.8
2020-04-10,"Wasatch County",99,280.5
2020-04-10,"Weber-Morgan",92,33.4
2020-04-11,"Bear River",47,24.8
2020-04-11,"Central Utah",6,7.2
2020-04-11,"Davis County",199,55.4
2020-04-11,"Salt Lake County",1125,96.5
2020-04-11,"San Juan",9,58.9
2020-04-11,"Southeast Utah",4,9.8
2020-04-11,"Southwest Utah",55,21
2020-04-11,"Summit County",304,715.3
2020-04-11,"Tooele County",33,44.3
2020-04-11,"TriCounty",8,14.1
2020-04-11,"Utah County",322,49.5
2020-04-11,"Wasatch County",103,291.8
2020-04-11,"Weber-Morgan",94,34.2
2020-04-12,"Bear River",50,26.4
2020-04-12,"Central Utah",6,7.2
2020-04-12,"Davis County",206,57.3
2020-04-12,"Salt Lake County",1154,99
2020-04-12,"San Juan",10,65.5
2020-04-12,"Southeast Utah",4,9.8
2020-04-12,"Southwest Utah",55,21
2020-04-12,"Summit County",306,720
2020-04-12,"Tooele County",34,45.6
2020-04-12,"TriCounty",8,14.1
2020-04-12,"Utah County",331,50.8
2020-04-12,"Wasatch County",103,291.8
2020-04-12,"Weber-Morgan",101,36.7
2020-04-13,"Bear River",50,26.4
2020-04-13,"Central Utah",6,7.2
2020-04-13,"Davis County",209,58.2
2020-04-13,"Salt Lake County",1185,101.7
2020-04-13,"San Juan",10,65.5
2020-04-13,"Southeast Utah",4,9.8
2020-04-13,"Southwest Utah",57,21.8
2020-04-13,"Summit County",307,722.4
2020-04-13,"Tooele County",34,45.6
2020-04-13,"TriCounty",8,14.1
2020-04-13,"Utah County",338,51.9
2020-04-13,"Wasatch County",103,291.8
2020-04-13,"Weber-Morgan",104,37.8
2020-04-14,"Bear River",51,26.9
2020-04-14,"Central Utah",8,9.7
2020-04-14,"Davis County",215,59.8
2020-04-14,"Salt Lake County",1283,110.1
2020-04-14,"San Juan",10,65.5
2020-04-14,"Southeast Utah",4,9.8
2020-04-14,"Southwest Utah",57,21.8
2020-04-14,"Summit County",308,724.7
2020-04-14,"Tooele County",35,47
2020-04-14,"TriCounty",8,14.1
2020-04-14,"Utah County",348,53.5
2020-04-14,"Wasatch County",103,291.8
2020-04-14,"Weber-Morgan",107,38.9
2020-04-15,"Bear River",53,28
2020-04-15,"Central Utah",8,9.7
2020-04-15,"Davis County",218,60.7
2020-04-15,"Salt Lake County",1376,118.1
2020-04-15,"San Juan",10,65.5
2020-04-15,"Southeast Utah",4,9.8
2020-04-15,"Southwest Utah",60,22.9
2020-04-15,"Summit County",311,731.8
2020-04-15,"Tooele County",35,47
2020-04-15,"TriCounty",9,15.8
2020-04-15,"Utah County",378,58.1
2020-04-15,"Wasatch County",103,291.8
2020-04-15,"Weber-Morgan",109,39.6
2020-04-16,"Bear River",54,28.5
2020-04-16,"Central Utah",11,13.3
2020-04-16,"Davis County",226,62.9
2020-04-16,"Salt Lake County",1454,124.8
2020-04-16,"San Juan",15,98.2
2020-04-16,"Southeast Utah",5,12.3
2020-04-16,"Southwest Utah",62,23.7
2020-04-16,"Summit County",313,736.5
2020-04-16,"Tooele County",36,48.3
2020-04-16,"TriCounty",9,15.8
2020-04-16,"Utah County",405,62.2
2020-04-16,"Wasatch County",103,291.8
2020-04-16,"Weber-Morgan",111,40.3
2020-04-17,"Bear River",54,28.5
2020-04-17,"Central Utah",12,14.5
2020-04-17,"Davis County",230,64
2020-04-17,"Salt Lake County",1548,132.8
2020-04-17,"San Juan",15,98.2
2020-04-17,"Southeast Utah",5,12.3
2020-04-17,"Southwest Utah",64,24.5
2020-04-17,"Summit County",319,750.6
2020-04-17,"Tooele County",37,49.7
2020-04-17,"TriCounty",9,15.8
2020-04-17,"Utah County",425,65.3
2020-04-17,"Wasatch County",108,305.9
2020-04-17,"Weber-Morgan",113,41.1
2020-04-18,"Bear River",56,29.6
2020-04-18,"Central Utah",15,18.1
2020-04-18,"Davis County",235,65.4
2020-04-18,"Salt Lake County",1615,138.6
2020-04-18,"San Juan",17,111.3
2020-04-18,"Southeast Utah",6,14.7
2020-04-18,"Southwest Utah",65,24.9
2020-04-18,"Summit County",320,753
2020-04-18,"Tooele County",40,53.7
2020-04-18,"TriCounty",9,15.8
2020-04-18,"Utah County",462,71
2020-04-18,"Wasatch County",110,311.6
2020-04-18,"Weber-Morgan",121,44
2020-04-19,"Bear River",57,30.1
2020-04-19,"Central Utah",18,21.7
2020-04-19,"Davis County",243,67.6
2020-04-19,"Salt Lake County",1664,142.8
2020-04-19,"San Juan",23,150.5
2020-04-19,"Southeast Utah",7,17.2
2020-04-19,"Southwest Utah",69,26.4
2020-04-19,"Summit County",333,783.5
2020-04-19,"Tooele County",40,53.7
2020-04-19,"TriCounty",9,15.8
2020-04-19,"Utah County",512,78.6
2020-04-19,"Wasatch County",120,339.9
2020-04-19,"Weber-Morgan",124,45.1
2020-04-20,"Bear River",57,30.1
2020-04-20,"Central Utah",18,21.7
2020-04-20,"Davis County",244,67.9
2020-04-20,"Salt Lake County",1713,147
2020-04-20,"San Juan",29,189.8
2020-04-20,"Southeast Utah",7,17.2
2020-04-20,"Southwest Utah",69,26.4
2020-04-20,"Summit County",337,793
2020-04-20,"Tooele County",40,53.7
2020-04-20,"TriCounty",9,15.8
2020-04-20,"Utah County",537,82.5
2020-04-20,"Wasatch County",121,342.8
2020-04-20,"Weber-Morgan",127,46.2
2020-04-21,"Bear River",57,30.1
2020-04-21,"Central Utah",21,25.3
2020-04-21,"Davis County",250,69.6
2020-04-21,"Salt Lake County",1794,153.9
2020-04-21,"San Juan",29,189.8
2020-04-21,"Southeast Utah",7,17.2
2020-04-21,"Southwest Utah",69,26.4
2020-04-21,"Summit County",341,802.4
2020-04-21,"Tooele County",41,55
2020-04-21,"TriCounty",9,15.8
2020-04-21,"Utah County",572,87.9
2020-04-21,"Wasatch County",123,348.4
2020-04-21,"Weber-Morgan",133,48.3
2020-04-22,"Bear River",57,30.1
2020-04-22,"Central Utah",21,25.3
2020-04-22,"Davis County",254,70.7
2020-04-22,"Salt Lake County",1892,162.3
2020-04-22,"San Juan",32,209.5
2020-04-22,"Southeast Utah",7,17.2
2020-04-22,"Southwest Utah",75,28.7
2020-04-22,"Summit County",342,804.7
2020-04-22,"Tooele County",45,60.4
2020-04-22,"TriCounty",9,15.8
2020-04-22,"Utah County",609,93.5
2020-04-22,"Wasatch County",127,359.8
2020-04-22,"Weber-Morgan",137,49.8
2020-04-23,"Bear River",58,30.6
2020-04-23,"Central Utah",21,25.3
2020-04-23,"Davis County",255,71
2020-04-23,"Salt Lake County",1960,168.2
2020-04-23,"San Juan",32,209.5
2020-04-23,"Southeast Utah",8,19.7
2020-04-23,"Southwest Utah",80,30.6
2020-04-23,"Summit County",352,828.3
2020-04-23,"Tooele County",46,61.7
2020-04-23,"TriCounty",9,15.8
2020-04-23,"Utah County",669,102.8
2020-04-23,"Wasatch County",131,371.1
2020-04-23,"Weber-Morgan",142,51.6
2020-04-24,"Bear River",59,31.1
2020-04-24,"Central Utah",21,25.3
2020-04-24,"Davis County",268,74.6
2020-04-24,"Salt Lake County",2048,175.7
2020-04-24,"San Juan",35,229.1
2020-04-24,"Southeast Utah",8,19.7
2020-04-24,"Southwest Utah",82,31.4
2020-04-24,"Summit County",356,837.7
2020-04-24,"Tooele County",50,67.1
2020-04-24,"TriCounty",10,17.6
2020-04-24,"Utah County",731,112.3
2020-04-24,"Wasatch County",132,373.9
2020-04-24,"Weber-Morgan",144,52.3
2020-04-25,"Bear River",61,32.2
2020-04-25,"Central Utah",22,26.6
2020-04-25,"Davis County",275,76.6
2020-04-25,"Salt Lake County",2146,184.1
2020-04-25,"San Juan",38,248.7
2020-04-25,"Southeast Utah",8,19.7
2020-04-25,"Southwest Utah",86,32.9
2020-04-25,"Summit County",358,842.4
2020-04-25,"Tooele County",54,72.5
2020-04-25,"TriCounty",10,17.6
2020-04-25,"Utah County",785,120.6
2020-04-25,"Wasatch County",137,388.1
2020-04-25,"Weber-Morgan",146,53.1
2020-04-26,"Bear River",61,32.2
2020-04-26,"Central Utah",22,26.6
2020-04-26,"Davis County",276,76.8
2020-04-26,"Salt Lake County",2192,188.1
2020-04-26,"San Juan",40,261.8
2020-04-26,"Southeast Utah",8,19.7
2020-04-26,"Southwest Utah",88,33.7
2020-04-26,"Summit County",359,844.7
2020-04-26,"Tooele County",55,73.8
2020-04-26,"TriCounty",11,19.3
2020-04-26,"Utah County",837,128.6
2020-04-26,"Wasatch County",139,393.8
2020-04-26,"Weber-Morgan",148,53.8
2020-04-27,"Bear River",61,32.2
2020-04-27,"Central Utah",22,26.6
2020-04-27,"Davis County",277,77.1
2020-04-27,"Salt Lake County",2254,193.4
2020-04-27,"San Juan",40,261.8
2020-04-27,"Southeast Utah",8,19.7
2020-04-27,"Southwest Utah",90,34.4
2020-04-27,"Summit County",360,847.1
2020-04-27,"Tooele County",57,76.5
2020-04-27,"TriCounty",11,19.3
2020-04-27,"Utah County",861,132.2
2020-04-27,"Wasatch County",141,399.4
2020-04-27,"Weber-Morgan",149,54.2
2020-04-28,"Bear River",61,32.2
2020-04-28,"Central Utah",22,26.6
2020-04-28,"Davis County",282,78.5
2020-04-28,"Salt Lake County",2346,201.3
2020-04-28,"San Juan",40,261.8
2020-04-28,"Southeast Utah",9,22.1
2020-04-28,"Southwest Utah",92,35.2
2020-04-28,"Summit County",361,849.4
2020-04-28,"Tooele County",61,81.9
2020-04-28,"TriCounty",11,19.3
2020-04-28,"Utah County",895,137.5
2020-04-28,"Wasatch County",147,416.4
2020-04-28,"Weber-Morgan",151,54.9
2020-04-29,"Bear River",61,32.2
2020-04-29,"Central Utah",23,27.8
2020-04-29,"Davis County",284,79.1
2020-04-29,"Salt Lake County",2432,208.7
2020-04-29,"San Juan",41,268.4
2020-04-29,"Southeast Utah",9,22.1
2020-04-29,"Southwest Utah",97,37.1
2020-04-29,"Summit County",370,870.6
2020-04-29,"Tooele County",63,84.6
2020-04-29,"TriCounty",12,21.1
2020-04-29,"Utah County",955,146.7
2020-04-29,"Wasatch County",148,419.3
2020-04-29,"Weber-Morgan",158,57.4
2020-04-30,"Bear River",62,32.7
2020-04-30,"Central Utah",23,27.8
2020-04-30,"Davis County",292,81.3
2020-04-30,"Salt Lake County",2523,216.5
2020-04-30,"San Juan",42,274.9
2020-04-30,"Southeast Utah",10,24.6
2020-04-30,"Southwest Utah",100,38.2
2020-04-30,"Summit County",373,877.7
2020-04-30,"Tooele County",65,87.2
2020-04-30,"TriCounty",12,21.1
2020-04-30,"Utah County",991,152.2
2020-04-30,"Wasatch County",154,436.3
2020-04-30,"Weber-Morgan",162,58.9
2020-05-01,"Bear River",62,32.7
2020-05-01,"Central Utah",23,27.8
2020-05-01,"Davis County",295,82.1
2020-05-01,"Salt Lake County",2604,223.4
2020-05-01,"San Juan",74,484.4
2020-05-01,"Southeast Utah",10,24.6
2020-05-01,"Southwest Utah",101,38.6
